stage,model,latent,branch,r_field,r_sensor,r_sensor_used,ridge,n_delays,channels,seed,n_params,nmse_train,nmse_test,nmse_latent,cos_test,energy_test,floor_test,epochs_run,train_loss,val_loss,stopped_early,n_fit,fit_seconds,n_train,n_test,run,tag
A,branched,ae,gru,64,,-1,0.0001,25,all,0,19136,0.7200734115937231,0.7889490595995858,0.803005121360594,0.4823472319962867,0.6073599773754662,0.46797302272275026,404,0.4589106793529253,0.7975695729255676,1,3492,24.17208766937256,4365,1521,4p5d_10ms_yaw_0_0_0,clean
A,podlse,pod,closed-form,128,,300,0.0001,25,all,0,38400,0.6624096701403245,0.7629739148135591,0.6401263258992841,0.49352788526438174,0.5462558488207941,0.33900196263770743,0,nan,nan,0,4365,11.019097328186035,4365,1521,4p5d_10ms_yaw_0_0_0,clean
A,epod,pod,closed-form,128,,300,0.0001,25,all,0,9444600,0.6447705350202287,0.779856768903682,nan,0.4803196015293632,0.5620968364128343,0.33900196263770743,0,nan,nan,0,4365,7.734554052352905,4365,1521,4p5d_10ms_yaw_0_0_0,clean
A,branched,pod,linear,128,,-1,0.0001,25,all,0,38528,0.6955797691138299,0.7709660782409763,0.6521931482079856,0.4835322986588224,0.5106709215402575,0.33900196263770743,758,0.5569335988979842,0.6009781360626221,1,3492,23.53230905532837,4365,1521,4p5d_10ms_yaw_0_0_0,clean
A,branched,pod,mlp,128,,-1,0.0001,25,all,0,71552,0.6794148016642458,0.7838015118465884,0.6715724937357223,0.46832044599064093,0.4968289016666513,0.33900196263770743,430,0.44768342502065267,0.6384772062301636,1,3492,20.121862173080444,4365,1521,4p5d_10ms_yaw_0_0_0,clean
A,branched,pod,cnn,128,,-1,0.0001,25,all,0,217184,0.6999373657650187,0.7907475044060674,0.6820597740239679,0.4618625544688185,0.4934103371478401,0.33900196263770743,409,0.3810946287977736,0.6606255173683167,1,3492,21.617750644683838,4365,1521,4p5d_10ms_yaw_0_0_0,clean
A,branched,pod,gru,128,,-1,0.0001,25,all,0,23296,0.7028792291373334,0.7952104587762149,0.6887980843507648,0.4563119352509674,0.4797701224712727,0.33900196263770743,452,0.5157774389131509,0.6546589136123657,1,3492,25.420722723007202,4365,1521,4p5d_10ms_yaw_0_0_0,clean
A,branched,ae,linear,128,,-1,0.0001,25,all,0,38528,0.701861559299642,0.7871797240722367,0.8361547314318871,0.4875091864947424,0.629496634640068,0.45962733639777986,513,0.67891501847821,0.7055408954620361,1,3492,70.34927606582642,4365,1521,4p5d_10ms_yaw_0_0_0,clean
A,branched,ae,mlp,128,,-1,0.0001,25,all,0,71552,0.7138390775360721,0.8032404284336853,0.8355431542266063,0.4783640659767187,0.6401691640693784,0.45962733639777986,405,0.47109083484811337,0.8272078633308411,1,3492,20.051902294158936,4365,1521,4p5d_10ms_yaw_0_0_0,clean
A,branched,ae,cnn,128,,-1,0.0001,25,all,0,217184,0.7211822037625941,0.8038001803010929,0.843696960235519,0.47619504452868716,0.6331544824723628,0.45962733639777986,404,0.5057516091877652,0.8375799655914307,1,3492,22.0109920501709,4365,1521,4p5d_10ms_yaw_0_0_0,clean
A,branched,ae,gru,128,,-1,0.0001,25,all,0,23296,0.7297368440448557,0.7994635168657366,0.8240883026994383,0.481883639219544,0.639094036146849,0.45962733639777986,404,0.5287378405104525,0.8253393173217773,1,3492,24.218186140060425,4365,1521,4p5d_10ms_yaw_0_0_0,clean
B,podlse,pod,closed-form,64,,12,0.0001,1,all,0,768,0.8411699482864314,0.8851283081468986,0.8076813267376353,0.34712026790259726,0.3882382723653319,0.39655234855889326,0,nan,nan,0,4365,9.27455449104309,4365,1521,4p5d_10ms_yaw_0_0_0,clean
B,branched,pod,linear,64,,-1,0.0001,1,all,0,832,0.8475929481822996,0.8895919521467739,0.815240376180561,0.3404692387909797,0.38177506969977937,0.39596951628920496,1289,0.7495054938539197,0.7813060283660889,1,3492,34.4198431968689,4365,1521,4p5d_10ms_yaw_0_0_0,clean
B,branched,pod,mlp,64,,-1,0.0001,1,all,0,26432,0.842954251124207,0.8915013759755094,0.8183938783055645,0.33335294779446617,0.3392568998981962,0.39596951628920496,417,0.6796621095137362,0.8077991604804993,1,3492,19.618406772613525,4365,1521,4p5d_10ms_yaw_0_0_0,clean
B,branched,pod,cnn,64,,-1,0.0001,1,all,0,16416,0.8395938319802355,0.8910567507735391,0.8176595591365343,0.33445852440276186,0.35651091103261345,0.39596951628920496,442,0.709163040366506,0.788343608379364,1,3492,22.343346118927002,4365,1521,4p5d_10ms_yaw_0_0_0,clean
B,branched,pod,gru,64,,-1,0.0001,1,all,0,19136,0.8334333908727602,0.8874720943965819,0.8117393326619183,0.3419447776477353,0.3834613773629611,0.39596951628920496,462,0.7102558204535083,0.7809170484542847,1,3492,24.883411407470703,4365,1521,4p5d_10ms_yaw_0_0_0,clean
B,branched,ae,linear,64,,-1,0.0001,1,all,0,832,0.8553848877961581,0.9023956596176892,0.9093624722464339,0.3421618122438047,0.44994725076945086,0.46797302272275026,461,0.7616344135924576,0.7547969818115234,1,3492,17.88138771057129,4365,1521,4p5d_10ms_yaw_0_0_0,clean
B,branched,ae,mlp,64,,-1,0.0001,1,all,0,26432,0.8500206860538235,0.9064800078180678,0.9062738875570423,0.34958893913465017,0.4895178887653357,0.46797302272275026,407,0.693473463205947,0.7890242338180542,1,3492,20.1925790309906,4365,1521,4p5d_10ms_yaw_0_0_0,clean
B,branched,ae,cnn,64,,-1,0.0001,1,all,0,16416,0.8508382525922646,0.9022526017148704,0.9013310568849838,0.34933477394399987,0.47223787531455097,0.46797302272275026,417,0.732629869675172,0.7612462043762207,1,3492,22.261154174804688,4365,1521,4p5d_10ms_yaw_0_0_0,clean
B,branched,ae,gru,64,,-1,0.0001,1,all,0,19136,0.8519572452966939,0.9072261824446317,0.9032562310117299,0.34628891956387164,0.48549709470908914,0.46797302272275026,409,0.7211784919785743,0.7581112384796143,1,3492,23.74316120147705,4365,1521,4p5d_10ms_yaw_0_0_0,clean
B,podlse,pod,closed-form,64,,24,0.0001,2,all,0,1536,0.7522400958080245,0.8121122728445934,0.6869760666674966,0.4396511107534647,0.47800009433074464,0.39655234855889326,0,nan,nan,0,4365,9.266716003417969,4365,1521,4p5d_10ms_yaw_0_0_0,clean
B,branched,pod,linear,64,,-1,0.0001,2,all,0,1600,0.7610363086666174,0.8165997318037709,0.6946903345940104,0.432952828630643,0.44948991920936204,0.39596951628920496,2233,0.6179510422588623,0.6403726935386658,1,3492,54.377495765686035,4365,1521,4p5d_10ms_yaw_0_0_0,clean
B,branched,pod,mlp,64,,-1,0.0001,2,all,0,27968,0.7387117316962467,0.8145174562374387,0.6912513597972931,0.4338966940684315,0.45290080984359077,0.39596951628920496,429,0.5311121274925179,0.6411283016204834,1,3492,20.031187772750854,4365,1521,4p5d_10ms_yaw_0_0_0,clean
B,branched,pod,cnn,64,,-1,0.0001,2,all,0,20512,0.7453532281265561,0.8109267354519326,0.6853211176703331,0.43782137056008597,0.45126609125386874,0.39596951628920496,429,0.5547082128530242,0.6393344402313232,1,3492,21.70909023284912,4365,1521,4p5d_10ms_yaw_0_0_0,clean
B,branched,pod,gru,64,,-1,0.0001,2,all,0,19136,0.731704460420821,0.820253112703993,0.7007240628103014,0.4296992522861387,0.4711404603699423,0.39596951628920496,477,0.5381874235908054,0.6519371867179871,1,3492,26.124386310577393,4365,1521,4p5d_10ms_yaw_0_0_0,clean
B,branched,ae,linear,64,,-1,0.0001,2,all,0,1600,0.7612524945327089,0.8232671042677028,0.85448785916214,0.43803940137179354,0.5325615349026794,0.46797302272275026,493,0.7059635500181445,0.6962412595748901,1,3492,18.549928188323975,4365,1521,4p5d_10ms_yaw_0_0_0,clean
B,branched,ae,mlp,64,,-1,0.0001,2,all,0,27968,0.7520554732292734,0.8336118049771175,0.8500025089732977,0.43970901091408043,0.5784112612223681,0.46797302272275026,412,0.6083764394943657,0.7160313129425049,1,3492,20.295217752456665,4365,1521,4p5d_10ms_yaw_0_0_0,clean
B,branched,ae,cnn,64,,-1,0.0001,2,all,0,20512,0.7505378991798595,0.8292856860503063,0.8437548095963705,0.44499720380881885,0.5912313988947303,0.46797302272275026,423,0.642464348335856,0.6971612572669983,1,3492,22.313636302947998,4365,1521,4p5d_10ms_yaw_0_0_0,clean
B,branched,ae,gru,64,,-1,0.0001,2,all,0,19136,0.7507957605729346,0.8357485643103105,0.8516072232455913,0.4380462923818204,0.5829707293854063,0.46797302272275026,414,0.6306085498472259,0.7127683758735657,1,3492,24.47785186767578,4365,1521,4p5d_10ms_yaw_0_0_0,clean
