stage,model,latent,branch,r_field,r_sensor,r_sensor_used,ridge,n_delays,channels,seed,n_params,nmse_train,nmse_test,nmse_latent,cos_test,energy_test,floor_test,sensor_noise,nmse_fullband,epochs_run,train_loss,val_loss,stopped_early,n_fit,fit_seconds,n_train,n_test,run,tag
N,branched,ae,gru,16,,-1,0.0001,25,all,0,16016,0.714847746294113,0.7850460207980379,0.6561665702669821,0.47897821361732795,0.5694367455637441,0.5518162123687468,0.25,nan,204,0.2623058408328075,0.608056366443634,1,3492,16.40249538421631,4365,1521,4p5d_10ms_yaw_0_0_0,noise
N,podlse,pod,closed-form,16,,300,0.0001,25,all,0,4800,0.679737996830958,0.7526320707824911,0.4714860435390074,0.5018100398547337,0.5298908576004556,0.530397236226799,0.5,nan,0,nan,nan,0,4365,8.254876136779785,4365,1521,4p5d_10ms_yaw_0_0_0,noise
N,branched,pod,linear,16,,-1,0.0001,25,all,0,4816,0.7149600569887717,0.7710730240618787,0.5105444340134466,0.48271589928787223,0.46859762947954947,0.5304652416362131,0.5,nan,486,0.4601255172579832,0.4459596872329712,1,3492,18.007843494415283,4365,1521,4p5d_10ms_yaw_0_0_0,noise
N,branched,pod,mlp,16,,-1,0.0001,25,all,0,57104,0.7051987275754363,0.7939968829427002,0.5591864539835565,0.45681027752445713,0.4668324222232135,0.5304652416362131,0.5,nan,229,0.3509543603296815,0.5184705257415771,1,3492,14.175153732299805,4365,1521,4p5d_10ms_yaw_0_0_0,noise
N,branched,pod,cnn,16,,-1,0.0001,25,all,0,37872,0.7051886871814853,0.7814479143780573,0.5325588611904287,0.4710665717014764,0.49011623086304146,0.5304652416362131,0.5,nan,212,0.32066337468970957,0.49888595938682556,1,3492,14.64888882637024,4365,1521,4p5d_10ms_yaw_0_0_0,noise
N,branched,pod,gru,16,,-1,0.0001,25,all,0,16016,0.7207004674096751,0.7904599236024011,0.5516813978863812,0.46085325253782705,0.4445908165241377,0.5304652416362131,0.5,nan,249,0.3986376483347544,0.521193265914917,1,3492,17.3330659866333,4365,1521,4p5d_10ms_yaw_0_0_0,noise
N,branched,ae,linear,16,,-1,0.0001,25,all,0,4816,0.7128163266875611,0.7704070152817526,0.6582171368376759,0.48465978709345614,0.5053604541340173,0.5518162123687468,0.5,nan,317,0.47803891664381565,0.4789412021636963,1,3492,15.165543556213379,4365,1521,4p5d_10ms_yaw_0_0_0,noise
N,branched,ae,mlp,16,,-1,0.0001,25,all,0,57104,0.7194383475920909,0.7839345760303011,0.6735284916687254,0.47410271644099783,0.5351216542538051,0.5518162123687468,0.5,nan,203,0.29173975425077875,0.5826665759086609,1,3492,14.362178325653076,4365,1521,4p5d_10ms_yaw_0_0_0,noise
N,branched,ae,cnn,16,,-1,0.0001,25,all,0,37872,0.7091600691359836,0.7846032185678884,0.6679390013145191,0.4783775238322519,0.5668263519752925,0.5518162123687468,0.5,nan,209,0.37236590453029905,0.5327538251876831,1,3492,15.362198829650879,4365,1521,4p5d_10ms_yaw_0_0_0,noise
N,branched,ae,gru,16,,-1,0.0001,25,all,0,16016,0.7188121023958179,0.78799368837695,0.6599730256163356,0.4765183163760057,0.5687416159731497,0.5518162123687468,0.5,nan,204,0.3248267465986883,0.5911383032798767,1,3492,16.417470455169678,4365,1521,4p5d_10ms_yaw_0_0_0,noise
N,podlse,pod,closed-form,16,,300,0.0001,25,all,0,4800,0.679737996830958,0.7526320707824911,0.4714860435390074,0.5018100398547337,0.5298908576004556,0.530397236226799,1.0,nan,0,nan,nan,0,4365,8.25707721710205,4365,1521,4p5d_10ms_yaw_0_0_0,noise
N,branched,pod,linear,16,,-1,0.0001,25,all,0,4816,0.7321720022682859,0.7838794374871958,0.5377182977515852,0.47117974713710103,0.4261575957770481,0.5304652416362131,1.0,nan,434,0.5201933259679963,0.4760843515396118,1,3492,16.845793962478638,4365,1521,4p5d_10ms_yaw_0_0_0,noise
N,branched,pod,mlp,16,,-1,0.0001,25,all,0,57104,0.7292769486364891,0.7986516483472634,0.569063377102917,0.4519971205226741,0.4423420455005025,0.5304652416362131,1.0,nan,229,0.4523088833720414,0.524254322052002,1,3492,14.18810772895813,4365,1521,4p5d_10ms_yaw_0_0_0,noise
N,branched,pod,cnn,16,,-1,0.0001,25,all,0,37872,0.7041824053452161,0.7860334284019808,0.5422888401562088,0.46688163795127535,0.4990692557788808,0.5304652416362131,1.0,nan,222,0.41905597934471644,0.5130957365036011,1,3492,15.014297723770142,4365,1521,4p5d_10ms_yaw_0_0_0,noise
N,branched,pod,gru,16,,-1,0.0001,25,all,0,16016,0.7332760637942521,0.7940590036412926,0.5593182675790423,0.4570918506677058,0.46310263622135456,0.5304652416362131,1.0,nan,257,0.47151725122199434,0.5284729599952698,1,3492,17.69419527053833,4365,1521,4p5d_10ms_yaw_0_0_0,noise
N,branched,ae,linear,16,,-1,0.0001,25,all,0,4816,0.7338522641601065,0.7854162393627337,0.6870008009263068,0.4690247776144709,0.4602093693726214,0.5518162123687468,1.0,nan,277,0.5214678896388374,0.5037907958030701,1,3492,14.257242918014526,4365,1521,4p5d_10ms_yaw_0_0_0,noise
N,branched,ae,mlp,16,,-1,0.0001,25,all,0,57104,0.7290919336498674,0.7943942071937896,0.6805186119359656,0.46315805845350394,0.5267828271746793,0.5518162123687468,1.0,nan,205,0.39988701863114096,0.5605059266090393,1,3492,14.419499397277832,4365,1521,4p5d_10ms_yaw_0_0_0,noise
N,branched,ae,cnn,16,,-1,0.0001,25,all,0,37872,0.7169310942432686,0.7929467962510112,0.6764572113975524,0.46802882120284106,0.5402870194119718,0.5518162123687468,1.0,nan,223,0.4638568198080052,0.5070986747741699,1,3492,16.130125522613525,4365,1521,4p5d_10ms_yaw_0_0_0,noise
N,branched,ae,gru,16,,-1,0.0001,25,all,0,16016,0.7372930422246693,0.808010525266803,0.6844523697573361,0.4631717001985226,0.5842968028678295,0.5518162123687468,1.0,nan,204,0.43472538497576324,0.5533091425895691,1,3492,16.541025638580322,4365,1521,4p5d_10ms_yaw_0_0_0,noise
