dataset,model,latent,variant,n_params,s_per_epoch,epochs_measured,compile_s,total_fit_s,peak_mem_mb,n_train,n_x,gpu
bl,CAE,32,narrow,178467.0,0.3752324881963432,15,0.4185232786927372,5.628487322945148,256.113152,1798,13875,Tesla T4
bl,CAEJax,32,default,379939.0,0.3137525508645922,15,2.7756825202377513,4.706288262968883,18.087936,1798,13875,Tesla T4
bl,CAE,32,deep,394467.0,0.5289915106026456,15,0.5250592187978327,7.934872659039684,259.926528,1798,13875,Tesla T4
circle,AE,32,default,16610514.0,0.10493727826979012,15,0.34229803036432715,1.5740591740468517,481.027072,284,32306,Tesla T4
circle,CAEJax,32,default,1111810.0,0.35276563859855137,15,2.3272843218020474,5.29148457897827,18.087936,284,32306,Tesla T4
bl,AEJax,64,half,7159539.0,0.16467783546540887,15,3.944225207110867,2.470167531981133,18.087936,1798,13875,Tesla T4
bl,AE,64,double,28989555.0,0.7885501458697642,15,0.631908057249772,11.828252188046463,850.706432,1798,13875,Tesla T4
bl,AEJax,64,fixed_sm,3590899.0,0.14879500733998915,15,1.0437189733687167,2.231925110099837,18.087936,1798,13875,Tesla T4
bl,CAE,64,narrow,342339.0,0.38279399553624294,15,0.40047454592616605,5.741909933043644,259.389952,1798,13875,Tesla T4
bl,CAEJax,64,default,707651.0,0.3176442271331325,15,2.7481645287247374,4.764663406996988,18.087936,1798,13875,Tesla T4
bl,CAE,64,deep,591107.0,0.4638530608654643,15,0.6422974522846441,6.957795912981965,263.858688,1798,13875,Tesla T4
circle,AE,64,default,33262450.0,0.16890139980241656,15,0.462069393415004,2.5335209970362484,886.346752,284,32306,Tesla T4
circle,CAEJax,64,default,2160418.0,0.3556774591949458,15,2.299180391632641,5.335161887924187,18.087936,284,32306,Tesla T4
bl,AEJax,128,half,14387123.0,0.24685300113633274,15,4.207048430782743,3.7027950170449913,18.087936,1798,13875,Tesla T4
bl,AE,128,double,59079347.0,1.4862123783289765,15,0.8321299464053786,22.293185674934648,1573.919744,1798,13875,Tesla T4
bl,AEJax,128,fixed_sm,3599155.0,0.15290065800460675,15,1.088998667934599,2.2935098700691015,18.087936,1798,13875,Tesla T4
bl,CAE,128,narrow,670083.0,0.41180722586965807,15,0.6531333872737984,6.177108388044871,266.513408,1798,13875,Tesla T4
bl,CAEJax,128,default,1363075.0,0.328448823466897,15,2.6935936940368266,4.926732352003455,18.087936,1798,13875,Tesla T4
