stage,model,latent,branch,r_field,r_sensor,r_sensor_used,ridge,n_delays,channels,seed,n_params,nmse_train,nmse_test,nmse_latent,cos_test,energy_test,floor_test,fit_seconds,n_train,n_test,run,tag
R,branched,pod,linear,2,,-1,0.0001,25,all,0,602,0.8190625016003567,0.858009844669839,0.43280997648123476,0.38768520278761276,0.40083504149299964,0.7461232917245788,44.93245077133179,4365,1521,4p5d_10ms_yaw_0_0_0,lowrank
R,branched,pod,mlp,2,,-1,0.0001,25,all,0,55298,0.8124594135362538,0.8650790726579457,0.46015582206081745,0.3742442551888293,0.3811669630919184,0.7461232917245788,30.962053775787354,4365,1521,4p5d_10ms_yaw_0_0_0,lowrank
R,branched,pod,gru,2,,-1,0.0001,25,all,0,15106,0.8348306900835468,0.8771097462228382,0.5066939931422162,0.35869722761946377,0.3503546031116571,0.7461232917245788,234.02456641197205,4365,1521,4p5d_10ms_yaw_0_0_0,lowrank
R,podlse,pod,closed-form,3,12,12,1e-06,25,all,0,36,0.8365421306309346,0.8660172062174848,0.6035954180821679,0.3763512257524058,0.3835810451267601,0.6602216749679577,3.674592971801758,4365,1521,4p5d_10ms_yaw_0_0_0,lowrank
R,podlse,pod,closed-form,3,12,12,0.0001,25,all,0,36,0.8365421414753194,0.8660150838219751,0.6035891931257897,0.3763525490562219,0.38350397666825065,0.6602216749679577,3.054903268814087,4365,1521,4p5d_10ms_yaw_0_0_0,lowrank
R,podlse,pod,closed-form,3,12,12,0.001,25,all,0,36,0.8365432078530224,0.865996782195335,0.6035355147105375,0.37636406515344706,0.3828061340359103,0.6602216749679577,3.0516905784606934,4365,1521,4p5d_10ms_yaw_0_0_0,lowrank
R,podlse,pod,closed-form,3,12,12,0.01,25,all,0,36,0.8366429399223746,0.8659052868466413,0.6032671601310569,0.37643075759686406,0.3760915332596438,0.6602216749679577,3.100435972213745,4365,1521,4p5d_10ms_yaw_0_0_0,lowrank
R,podlse,pod,closed-form,3,12,12,0.1,25,all,0,36,0.8423500837774206,0.8699128085004897,0.6150211651545922,0.37400287604322213,0.3272620934664021,0.6602216749679577,3.071270227432251,4365,1521,4p5d_10ms_yaw_0_0_0,lowrank
R,podlse,pod,closed-form,3,25,25,1e-06,25,all,0,75,0.8011611724704427,0.8498723736538859,0.5562428497250038,0.3998512316539368,0.4284436116539964,0.6602216749679577,3.0685012340545654,4365,1521,4p5d_10ms_yaw_0_0_0,lowrank
R,podlse,pod,closed-form,3,25,25,0.0001,25,all,0,75,0.8011611968496357,0.849854040096974,0.5561890776587107,0.39986399096018843,0.42835011822159147,0.6602216749679577,3.080658197402954,4365,1521,4p5d_10ms_yaw_0_0_0,lowrank
