model,sweep,value,n_latent,learning_rate,weight_decay,batch_size,width,noise,n_params,train_loss,val_loss,test_mse_clean,test_rel_clean,n_epochs_run,fit_s
CAEJax,width,4.0,32,0.001,1e-06,32,4.0,0.0,2072611.0,0.12660910402025496,0.1820041686296463,0.00028483293135650456,0.16249735917311187,279,234.793152570026
AEJax,noise,0.001,32,0.001,1e-06,32,1.0,0.001,7155411.0,0.1301072495324271,0.23364517092704773,0.000316137564368546,0.18035667119196416,343,41.82631834107451
CAEJax,noise,0.003,32,0.001,1e-06,32,1.0,0.003,379939.0,0.4121534824371338,0.45322924852371216,0.0006546087097376585,0.37345461421218623,271,74.76963058498222
AEJax,noise,0.03,32,0.001,1e-06,32,1.0,0.03,7155411.0,0.13204543931143625,0.22983641922473907,0.00031849791412241757,0.18170298665877127,313,38.33392746199388
CAEJax,noise,0.1,32,0.001,1e-06,32,1.0,0.1,379939.0,0.4175717830657959,0.4614604711532593,0.000655805051792413,0.3741342207548458,247,68.32892548700329
AEJax,noise,1.0,32,0.001,1e-06,32,1.0,1.0,7155411.0,0.5162979534694127,0.7077288031578064,0.0006001748843118548,0.3422434322545988,181,22.39504243596457
AEJax,n_latent,4,4,0.001,1e-06,32,1.0,0.0,902535.0,0.7515316690717425,0.7912098169326782,0.0012583744246512651,0.7179033684166203,364,22.35712256305851
CAEJax,n_latent,8,8,0.001,1e-06,32,1.0,0.0,134155.0,0.6127473286220005,0.6467697024345398,0.0009350963518954813,0.5334730328820056,274,82.22782714606728
AEJax,n_latent,32,32,0.001,1e-06,32,1.0,0.0,7155411.0,0.13227240528379167,0.2346222996711731,0.00031698544626124203,0.18084038832325808,400,52.84567689197138
CAEJax,n_latent,64,64,0.001,1e-06,32,1.0,0.0,707651.0,0.27668215547289166,0.32185986638069153,0.00047774010454304516,0.27255101785321845,262,75.69120964291506
AEJax,n_latent,256,256,0.001,1e-06,32,1.0,0.0,59210547.0,0.0040943316583122525,0.03613828867673874,5.048577440902591e-05,0.028802164757445407,400,311.1857587110717
CAEJax,learning_rate,1e-05,32,1e-05,1e-06,32,1.0,0.0,379939.0,0.6430931091308594,0.655302107334137,0.0009424090967513621,0.5376449582339239,400,112.36966216401197
AEJax,learning_rate,0.0001,32,0.0001,1e-06,32,1.0,0.0,7155411.0,0.1956465925489153,0.2760964632034302,0.0003720650856848806,0.21226335584293035,400,48.96448726800736
