tag,runs,test_run,model,latent,branch,r_field,r_sensor,n_delays,ridge,n_params,nmse_train,nmse_test,nmse_latent,cos_test,energy_test,floor_test,fit_seconds,seed,n_train,n_test
multirun,4p5d_10ms_yaw_0_0_0,,forecast,pod,gru/sensor-initialised,64,-1,10,nan,0,nan,0.9379297576197749,nan,,,,nan,0.0,0,4415,1521
multirun,4p5d_10ms_yaw_0_0_0,,forecast,pod,gru/sensor-initialised,64,-1,25,nan,0,nan,1.2037554016602372,nan,,,,nan,0.0,0,4415,1521
multirun,4p5d_10ms_yaw_0_0_0,,forecast,pod,gru/sensor-initialised,64,-1,50,nan,0,nan,1.2923886824102997,nan,,,,nan,0.0,0,4415,1521
multirun,4p5d_10ms_yaw_0_0_0,,forecast,pod,gru/sensor-initialised,64,-1,100,nan,0,nan,1.3017458813352942,nan,,,,nan,0.0,0,4415,1521
multirun,4p5d_10ms_yaw_0_0_0,,forecast,pod,gru/sensor-initialised,64,-1,200,nan,0,nan,1.4194420289488197,nan,,,,nan,0.0,0,4415,1521
multirun,4p5d_10ms_yaw_0_0_0,,forecast,pod,persistence,64,-1,1,nan,0,nan,0.5726627502498405,nan,,,,nan,0.0,0,4415,1521
multirun,4p5d_10ms_yaw_0_0_0,,forecast,pod,persistence,64,-1,5,nan,0,nan,1.1970239313355788,nan,,,,nan,0.0,0,4415,1521
multirun,4p5d_10ms_yaw_0_0_0,,forecast,pod,persistence,64,-1,10,nan,0,nan,1.588680523439333,nan,,,,nan,0.0,0,4415,1521
multirun,4p5d_10ms_yaw_0_0_0,,forecast,pod,persistence,64,-1,25,nan,0,nan,1.559457504112085,nan,,,,nan,0.0,0,4415,1521
multirun,4p5d_10ms_yaw_0_0_0,,forecast,pod,persistence,64,-1,50,nan,0,nan,1.573376440223324,nan,,,,nan,0.0,0,4415,1521
multirun,4p5d_10ms_yaw_0_0_0,,forecast,pod,persistence,64,-1,100,nan,0,nan,1.5661771352971314,nan,,,,nan,0.0,0,4415,1521
multirun,4p5d_10ms_yaw_0_0_0,,forecast,pod,persistence,64,-1,200,nan,0,nan,1.562486677371539,nan,,,,nan,0.0,0,4415,1521
