stage,model,latent,branch,r_field,r_sensor,r_sensor_used,n_delays,channels,seed,n_params,nmse_train,nmse_test,nmse_latent,floor_test,fit_seconds,n_train,n_test,run,tag
A,epod,pod,closed-form,128,,300,25,all,0,3492600,0.7128067497481447,0.8519235094143888,nan,0.16793552847303084,3.233527183532715,4365,1521,4p5d_10ms_yaw_0_0_0,main
A,branched,pod,linear,128,,-1,25,all,0,38528,0.7622729735752501,0.842996602915144,0.8111287523645647,0.16793552847303084,8.094197511672974,4365,1521,4p5d_10ms_yaw_0_0_0,main
A,branched,pod,mlp,128,,-1,25,all,0,71552,0.76446419918182,0.8376549828292899,0.8047104565986224,0.16793552847303084,4.392204523086548,4365,1521,4p5d_10ms_yaw_0_0_0,main
A,branched,pod,cnn,128,,-1,25,all,0,217184,0.7597502049657074,0.8483444295921141,0.8175545057438982,0.16793552847303084,4.468221426010132,4365,1521,4p5d_10ms_yaw_0_0_0,main
A,branched,pod,gru,128,,-1,25,all,0,23296,0.7573744126545702,0.8481948803131404,0.8173748127877143,0.16793552847303084,5.961236238479614,4365,1521,4p5d_10ms_yaw_0_0_0,main
A,branched,ae,linear,128,,-1,25,all,0,38528,0.7677048616499708,0.8439363575572016,0.91271203954427,0.28969057370897056,23.66136646270752,4365,1521,4p5d_10ms_yaw_0_0_0,main
A,branched,ae,mlp,128,,-1,25,all,0,71552,0.7558262558232421,0.8332934671363397,0.8898406177564909,0.28969057370897056,4.079021453857422,4365,1521,4p5d_10ms_yaw_0_0_0,main
A,branched,ae,cnn,128,,-1,25,all,0,217184,0.796564448585739,0.8480681152544799,0.9082779114096897,0.28969057370897056,3.8687026500701904,4365,1521,4p5d_10ms_yaw_0_0_0,main
A,branched,ae,gru,128,,-1,25,all,0,23296,0.7810702608081992,0.8341370107599267,0.8799285796353966,0.28969057370897056,4.347056150436401,4365,1521,4p5d_10ms_yaw_0_0_0,main
B,podlse,pod,closed-form,64,,12,1,all,0,768,0.8696290610301604,0.9095046913842022,0.8818841242599397,0.23207692339544772,4.46668004989624,4365,1521,4p5d_10ms_yaw_0_0_0,main
B,branched,pod,linear,64,,-1,1,all,0,832,0.8795517206953792,0.9127483907258555,0.886188189030676,0.23154603046073202,10.794890880584717,4365,1521,4p5d_10ms_yaw_0_0_0,main
B,branched,pod,mlp,64,,-1,1,all,0,26432,0.8537633568715903,0.9111152030872385,0.8840635463690589,0.23154603046073202,4.794084787368774,4365,1521,4p5d_10ms_yaw_0_0_0,main
B,branched,pod,cnn,64,,-1,1,all,0,16416,0.8576944217340969,0.9119144136571208,0.8851032535234831,0.23154603046073202,7.842516183853149,4365,1521,4p5d_10ms_yaw_0_0_0,main
B,branched,pod,gru,64,,-1,1,all,0,19136,0.859216980028375,0.9067978659122883,0.8784470461399424,0.23154603046073202,7.212340354919434,4365,1521,4p5d_10ms_yaw_0_0_0,main
B,branched,ae,linear,64,,-1,1,all,0,832,0.8921074883151634,0.9126577134618677,0.9344962037979845,0.3072115188437,7.068907976150513,4365,1521,4p5d_10ms_yaw_0_0_0,main
B,branched,ae,mlp,64,,-1,1,all,0,26432,0.8776589813480561,0.9095248425812734,0.9305574618995424,0.3072115188437,3.916350841522217,4365,1521,4p5d_10ms_yaw_0_0_0,main
B,branched,ae,cnn,64,,-1,1,all,0,16416,0.8793514328879926,0.9090393394273257,0.9266891066603539,0.3072115188437,5.754948377609253,4365,1521,4p5d_10ms_yaw_0_0_0,main
B,branched,ae,gru,64,,-1,1,all,0,19136,0.8833955065080918,0.9115162308573892,0.9284372830339455,0.3072115188437,4.570051431655884,4365,1521,4p5d_10ms_yaw_0_0_0,main
B,podlse,pod,closed-form,64,,24,2,all,0,1536,0.8132050001112436,0.8652550012543281,0.8242793122446085,0.23207692339544772,4.486183404922485,4365,1521,4p5d_10ms_yaw_0_0_0,main
B,branched,pod,linear,64,,-1,2,all,0,1600,0.8466610329464924,0.8862675820126504,0.8517388369930676,0.23154603046073202,10.783005714416504,4365,1521,4p5d_10ms_yaw_0_0_0,main
B,branched,pod,mlp,64,,-1,2,all,0,27968,0.776444209305899,0.8648679431638281,0.8238996686291066,0.23154603046073202,5.497309446334839,4365,1521,4p5d_10ms_yaw_0_0_0,main
B,branched,pod,cnn,64,,-1,2,all,0,20512,0.7851036644225386,0.860602064613279,0.8183501118338767,0.23154603046073202,6.407294750213623,4365,1521,4p5d_10ms_yaw_0_0_0,main
B,branched,pod,gru,64,,-1,2,all,0,19136,0.7909905144270668,0.8619436450014029,0.8200953974698924,0.23154603046073202,7.473793268203735,4365,1521,4p5d_10ms_yaw_0_0_0,main
B,branched,ae,linear,64,,-1,2,all,0,1600,0.8365170399228139,0.8677493460734643,0.9020336870017234,0.3072115188437,7.176573276519775,4365,1521,4p5d_10ms_yaw_0_0_0,main
B,branched,ae,mlp,64,,-1,2,all,0,27968,0.809988703776383,0.8645471553997929,0.896086816072855,0.3072115188437,4.281549453735352,4365,1521,4p5d_10ms_yaw_0_0_0,main
B,branched,ae,cnn,64,,-1,2,all,0,20512,0.8102597196823265,0.8617056469473605,0.8928800915717965,0.3072115188437,5.28430962562561,4365,1521,4p5d_10ms_yaw_0_0_0,main
B,branched,ae,gru,64,,-1,2,all,0,19136,0.8121542332405906,0.8681542704393351,0.8960757948767529,0.3072115188437,5.362927198410034,4365,1521,4p5d_10ms_yaw_0_0_0,main
B,podlse,pod,closed-form,64,,60,5,all,0,3840,0.7776695070009012,0.840419011841145,0.7919475038825136,0.23207692339544772,4.494385480880737,4365,1521,4p5d_10ms_yaw_0_0_0,main
B,branched,pod,linear,64,,-1,5,all,0,3904,0.8091500992385768,0.8611319679203513,0.8190394724107734,0.23154603046073202,10.76043963432312,4365,1521,4p5d_10ms_yaw_0_0_0,main
B,branched,pod,mlp,64,,-1,5,all,0,32576,0.7478249412046959,0.852918279039825,0.8083541393895224,0.23154603046073202,5.08169412612915,4365,1521,4p5d_10ms_yaw_0_0_0,main
B,branched,pod,cnn,64,,-1,5,all,0,32800,0.7708910033768779,0.85475876057489,0.8107484543444339,0.23154603046073202,4.985074758529663,4365,1521,4p5d_10ms_yaw_0_0_0,main
B,branched,pod,gru,64,,-1,5,all,0,19136,0.7905691975349134,0.8481572187161208,0.8021603918744858,0.23154603046073202,5.877735614776611,4365,1521,4p5d_10ms_yaw_0_0_0,main
B,branched,ae,linear,64,,-1,5,all,0,3904,0.8108570467777221,0.8509623239731638,0.8874999131274798,0.3072115188437,7.158154487609863,4365,1521,4p5d_10ms_yaw_0_0_0,main
B,branched,ae,mlp,64,,-1,5,all,0,32576,0.781082533461211,0.8439816970814822,0.8800953098462139,0.3072115188437,4.232795000076294,4365,1521,4p5d_10ms_yaw_0_0_0,main
B,branched,ae,cnn,64,,-1,5,all,0,32800,0.7935473890096065,0.8436948933306745,0.8812629278025734,0.3072115188437,4.475200176239014,4365,1521,4p5d_10ms_yaw_0_0_0,main
B,branched,ae,gru,64,,-1,5,all,0,19136,0.8000596699648295,0.8558381045971056,0.8843107281212472,0.3072115188437,4.700137615203857,4365,1521,4p5d_10ms_yaw_0_0_0,main
