stage,model,latent,branch,r_field,r_sensor,r_sensor_used,ridge,n_delays,channels,seed,n_params,nmse_train,nmse_test,nmse_latent,cos_test,energy_test,floor_test,fit_seconds,n_train,n_test,run,tag
B,branched,pod,linear,64,,-1,0.0001,1,all,0,832,0.8947061713340831,0.9215410422432799,0.8680057821606437,0.2901973881193581,0.2472315817010759,0.39596951628920496,16.335103273391724,4365,1521,4p5d_10ms_yaw_0_0_0,repaired
B,branched,pod,mlp,64,,-1,0.0001,1,all,0,26432,0.848119540395916,0.8931656024614982,0.8211424256322883,0.33104631385345745,0.32372410714344757,0.39596951628920496,10.036020755767822,4365,1521,4p5d_10ms_yaw_0_0_0,repaired
B,branched,pod,cnn,64,,-1,0.0001,1,all,0,16416,0.8399985753762843,0.8920817492260564,0.8193523916808313,0.33315301655552115,0.3576784198724211,0.39596951628920496,13.086517810821533,4365,1521,4p5d_10ms_yaw_0_0_0,repaired
B,branched,pod,gru,64,,-1,0.0001,1,all,0,19136,0.8394566707891398,0.8881964967023618,0.8129357167104754,0.3397810683664677,0.3729028279418407,0.39596951628920496,14.344258546829224,4365,1521,4p5d_10ms_yaw_0_0_0,repaired
B,branched,ae,linear,64,,-1,0.0001,1,all,0,832,0.8562250290366288,0.9016364359693269,0.9085159528253297,0.3428293774077047,0.44901159011942154,0.46797302272275026,12.17883825302124,4365,1521,4p5d_10ms_yaw_0_0_0,repaired
B,branched,ae,mlp,64,,-1,0.0001,1,all,0,26432,0.8480955965782326,0.9055769335526257,0.9038920846692399,0.34550918041755,0.4747612591576278,0.46797302272275026,10.061956644058228,4365,1521,4p5d_10ms_yaw_0_0_0,repaired
B,branched,ae,cnn,64,,-1,0.0001,1,all,0,16416,0.8485923330116752,0.9034751646910368,0.9009139977636906,0.34761509009175273,0.47546442150418583,0.46797302272275026,11.516284465789795,4365,1521,4p5d_10ms_yaw_0_0_0,repaired
B,branched,ae,gru,64,,-1,0.0001,1,all,0,19136,0.8514728430992896,0.9047507129311751,0.9018472070895773,0.3457757173746468,0.4751187623520875,0.46797302272275026,10.992022275924683,4365,1521,4p5d_10ms_yaw_0_0_0,repaired
B,podlse,pod,closed-form,64,,24,0.0001,2,all,0,1536,0.7522400958080245,0.8121122728445934,0.6869760666674966,0.4396511107534647,0.47800009433074464,0.39655234855889326,9.714829683303833,4365,1521,4p5d_10ms_yaw_0_0_0,repaired
B,branched,pod,linear,64,,-1,0.0001,2,all,0,1600,0.857477124766172,0.8958530172845507,0.8255808160135769,0.32867276115756855,0.32633450962735044,0.39596951628920496,16.19778323173523,4365,1521,4p5d_10ms_yaw_0_0_0,repaired
B,branched,pod,mlp,64,,-1,0.0001,2,all,0,27968,0.734444709943179,0.8159098119019026,0.6935508998368435,0.4332429201956778,0.4687642253147509,0.39596951628920496,11.379401683807373,4365,1521,4p5d_10ms_yaw_0_0_0,repaired
